game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,play_type,tokens,desc,newcontext,oob,clock,first_down_with,score,away_score_post,home_score_post,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,1,10,BT35,"V,1,10,V35","0,1,0",kick_off,"KO:14,H35 RET:85,H38 TACK:52","K. Hummel kickoff 30 yards to the LK35, A. Doroshev return 3 yards to the LK38 (W. Nasri).","H,1,10,H38",0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,LK38,"H,1,10,H38","1,1,1",penalty,"PEN:H,FS,A,72,H33,N",PENALTY LK false start (J. Hagerup) 5 yards to the LK33.,"H,1,15,H33",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,15,LK33,"H,1,15,H33","1,2,2",rush,"RUSH:2,H40, TACK:2",J. Aguemon rush for 7 yards to the LK40 (J. White).,"H,2,8,H40",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,8,LK40,"H,2,8,H40","1,3,3",NA,"D:2,23",2nd and 23.,"H,2,23,H40",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,23,LK40,"H,2,23,H40","1,4,4",pass,"PASS:3,I,8,*",M. Birdsong pass incomplete to A. Jalloh.,"H,3,23,H40",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,3,23,LK40,"H,3,23,H40","1,5,5",NA,"D:2,23",2nd and 23.,"H,2,23,H40",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,23,LK40,"H,2,23,H40","1,6,6",pass,"PASS:3,C,85,H40 TACK:22",M. Birdsong pass complete to A. Doroshev for no gain to the LK40 (L. Achaintre).,"H,3,23,H40",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,3,23,LK40,"H,3,23,H40","1,7,7",NA,"D:3,7",3rd and 7.,"H,3,7,H40",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,3,7,LK40,"H,3,7,H40","1,8,8",pass,"PASS:3,I,11,*",M. Birdsong pass incomplete to A. Dable-Wolf.,"H,4,7,H40",0,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,4,7,LK40,"H,4,7,H40","1,9,9",punt,"PUNT:1,V25 OB:","J. Templar punt 35 yards to the BT25, out-of-bounds.","V,1,10,V25",1,NA,NA,0,0,0,NA,1,H,LK,"KO,1,00:00,38","PUNT,1,00:00,40",4,2,0:00,KO,1,00:00,LK38,PUNT,1,00:00,LK40,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,1,10,BT25,"V,1,10,V25","2,1,10",NA,{DRIVE}:00:00,BERLIN THUNDER drive start at 00:00.,"V,1,10,V25",0,00:00,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,1,10,BT25,"V,1,10,V25","2,2,11",rush,"RUSH:47,V26, TACK:92",Y. Landfried rush for 1 yard to the BT26 (A. Zetterberg).,"V,2,9,V26",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,2,9,BT26,"V,2,9,V26","2,3,12",NA,"D:1,9",1st and 9.,"V,1,9,V26",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,1,9,BT26,"V,1,9,V26","2,4,13",rush,"RUSH:11,H25, OB: TACK:7","B. Zerbe rush for 49 yards to the LK25, 1ST DOWN BT, out-of-bounds (B. Tchiyoko).","V,1,10,H25",1,NA,rush,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,1,10,LK25,"V,1,10,H25","2,5,14",rush,"RUSH:1,H23, TACK:40",J. Crawford rush for 2 yards to the LK23 (O. Rohnebak).,"V,2,8,H23",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,2,8,LK23,"V,2,8,H23","2,6,15",rush,"RUSH:11,H29, TACK:45",B. Zerbe rush for loss of 6 yards to the LK29 (K. Kitchens).,"V,3,14,H29",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,3,14,LK29,"V,3,14,H29","2,7,16",penalty,"PASS:11,I,TM,* PEN:H,RP,A,99,H15,1 NOPLAY:","B. Zerbe pass incomplete, PENALTY LK roughing passer (V. Buffet) 14 yards to the LK15, 1ST DOWN BT, NO PLAY.","V,1,10,H15",0,NA,penalty,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,1,10,LK15,"V,1,10,H15","2,8,17",rush,"RUSH:1,H12, TACK:52",J. Crawford rush for 3 yards to the LK12 (C. Schlack).,"V,2,7,H12",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,2,7,LK12,"V,2,7,H12","2,9,18",rush,"RUSH:1,H11, TACK:99",J. Crawford rush for 1 yard to the LK11 (V. Buffet).,"V,3,6,H11",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,3,6,LK11,"V,3,6,H11","2,10,19",penalty,"PEN:V,DG,A,11,H16,N",PENALTY BT delay of game (B. Zerbe) 5 yards to the LK16.,"V,3,11,H16",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,3,11,LK16,"V,3,11,H16","2,11,20",pass,"PASS:11,S,TM,H25 SACK:45",B. Zerbe sacked for loss of 9 yards to the LK25 (K. Kitchens).,"V,4,20,H25",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,4,20,LK25,"V,4,20,H25","2,12,21",penalty,"PEN:V,FS,A,TM,H30,N",PENALTY BT false start 5 yards to the LK30.,"V,4,25,H30",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,4,25,LK30,"V,4,25,H30","2,13,22",penalty,"PEN:V,DG,A,11,H35,N",PENALTY BT delay of game (B. Zerbe) 5 yards to the LK35.,"V,4,30,H35",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,4,30,LK35,"V,4,30,H35","2,14,23",penalty,"PASS:11,I,7,* PEN:H,PI,A,21,H03,1 NOPLAY:","B. Zerbe pass incomplete to S. Jones, PENALTY LK pass interference (D. Docal) 32 yards to the LK3, 1ST DOWN BT, NO PLAY.","V,1,0,H03",0,NA,penalty,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,1,0,LK03,"V,1,0,H03","2,15,24",rush,"RUSH:1,H01, TACK:5,52",J. Crawford rush for 2 yards to the LK1 (M. Bausch;C. Schlack).,"V,2,0,H01",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,2,0,LK01,"V,2,0,H01","2,16,25",rush,"RUSH:47,H01, TACK:45",Y. Landfried rush for no gain to the LK1 (K. Kitchens).,"V,3,0,H01",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,3,0,LK01,"V,3,0,H01","2,17,26",rush,"RUSH:1,H05, TACK:21,45",J. Crawford rush for loss of 4 yards to the LK5 (D. Docal;K. Kitchens).,"V,4,0,H05",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,BT,4,0,LK05,"V,4,0,H05","2,18,27",pass,"PASS:11,I,7,*",B. Zerbe pass incomplete to S. Jones.,"H,1,10,H05",0,NA,NA,0,0,0,NA,2,V,BT,"PUNT,1,00:00,25","DOWNS,2,00:00,95",11,70,0:00,PUNT,1,00:00,BT25,DOWNS,2,00:00,LK05,1
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,LK05,"H,1,10,H05","3,1,28",rush,"RUSH:2,H09, TACK:8,52",J. Aguemon rush for 4 yards to the LK9 (P. Seifert;W. Nasri).,"H,2,6,H09",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,6,LK09,"H,2,6,H09","3,2,29",rush,"RUSH:2,H14, TACK:91",J. Aguemon rush for 5 yards to the LK14 (A. Odeleye).,"H,3,1,H14",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,3,1,LK14,"H,3,1,H14","3,3,30",pass,"PASS:3,C,11,H31 TACK:15","M. Birdsong pass complete to A. Dable-Wolf for 17 yards to the LK31, 1ST DOWN LK (M. Thiele).","H,1,10,H31",0,NA,pass,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,LK31,"H,1,10,H31","3,4,31",pass,"PASS:3,D,11,*","M. Birdsong pass incomplete to A. Dable-Wolf, dropped pass.","H,2,10,H31",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,10,LK31,"H,2,10,H31","3,5,32",pass,"PASS:3,C,11,H36 TACK:52",M. Birdsong pass complete to A. Dable-Wolf for 5 yards to the LK36 (W. Nasri).,"H,3,5,H36",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,3,5,LK36,"H,3,5,H36","3,6,33",pass,"PASS:3,C,6,H42 TACK:8,15","M. Birdsong pass complete to T. Knuettel for 6 yards to the LK42, 1ST DOWN LK (P. Seifert;M. Thiele).","H,1,10,H42",0,NA,pass,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,LK42,"H,1,10,H42","3,7,34",pass,"PASS:3,I,12,* BRUP:31",M. Birdsong pass incomplete to J. Awini (L. Pekkarinen).,"H,2,10,H42",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,10,LK42,"H,2,10,H42","3,8,35",penalty,"PEN:V,IC,A,31,H46,1","PENALTY BT illegal contact (L. Pekkarinen) 4 yards to the LK46, 1ST DOWN LK.","H,1,10,H46",0,NA,penalty,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,LK46,"H,1,10,H46","3,9,36",pass,"PASS:3,D,6,*","M. Birdsong pass incomplete to T. Knuettel, dropped pass.","H,2,10,H46",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,10,LK46,"H,2,10,H46","3,10,37",rush,"RUSH:2,V44, TACK:2","J. Aguemon rush for 10 yards to the BT44, 1ST DOWN LK (J. White).","H,1,10,V44",0,NA,rush,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,BT44,"H,1,10,V44","3,11,38",penalty,"RUSH:2,V43, TACK:45 PEN:H,HO,A,74,H46,N NOPLAY:","J. Aguemon rush for 1 yard to the BT43 (K. Hill), PENALTY LK holding (T. Bruetsch) 10 yards to the LK46, NO PLAY.","H,1,20,H46",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,20,LK46,"H,1,20,H46","3,12,39",pass,"PASS:3,C,12,V39 TACK:2,24",M. Birdsong pass complete to J. Awini for 15 yards to the BT39 (J. White;M. De Falcis).,"H,2,5,V39",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,2,5,BT39,"H,2,5,V39","3,13,41",pass,"PASS:3,C,85,V30 TACK:52","M. Birdsong pass complete to A. Doroshev for 9 yards to the BT30, 1ST DOWN LK (W. Nasri).","H,1,10,V30",0,NA,pass,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,BT30,"H,1,10,V30","3,14,42",NA,Q:2 T:00:00,"Start of 2nd quarter, clock 00:00.","H,1,10,V30",0,00:00,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
2021_07_BT_LK,BT,LK,Berlin Thunder,Leipzig Kings,8/1/2021,Leipzig,NA,15:01,NA,Y,-,0,22 degr.,SW,cloudy,M. Scholz,B. Hansen,K. Haltermann,Filip Pachulski,P. Simon,S. Hameder,V. Kriesmann,LK,1,10,BT30,"H,1,10,V30","3,15,43",pass,"PASS:3,I,11,*",M. Birdsong pass incomplete to A. Dable-Wolf.,"H,2,10,V30",0,NA,NA,0,0,0,NA,3,H,LK,"DOWNS,2,00:00,5","TD,2,00:00,100",15,95,0:00,DOWNS,2,00:00,LK05,TD,2,00:00,BT00,NA
